,loss,acc,val_loss,val_acc
0,0.15796280430962045,0.9548630714416504,0.05427906076472709,0.9854074120521545
1,0.06985435560861071,0.9800644516944885,0.05070856476067204,0.9867096543312073
2,0.05798667507987513,0.9835682511329651,0.03633058998099999,0.9899718165397644
3,0.05150885440741035,0.98527991771698,0.039984052064940476,0.9891260862350464
4,0.047776637908353466,0.9864478707313538,0.03586369199566528,0.9901329278945923
5,0.04494669659322947,0.9871660470962524,0.034340441703917444,0.9906564354896545
6,0.04334212947210373,0.987686276435852,0.03666847956791052,0.9906564354896545
7,0.04308662009838205,0.9878373146057129,0.035067008929118335,0.9915827512741089
8,0.04169211381391508,0.9881125092506409,0.03340978997339807,0.991623044013977
9,0.040597337878251705,0.9884951114654541,0.03393280840726109,0.9915425181388855
